YEAR,WEEK,CASES
2017,40,22
2017,41,11
2017,42,19
2017,43,20
2017,44,12
2017,45,11
2017,46,19
2017,47,18
2017,48,20
2017,49,29
2017,50,29
2017,51,22
2017,52,25
